Sam Hauser F
Jay Huff F
Trey Murphy III G
Kihei Clark G
Reece Beekman G
Tomas Woldetensae G
Casey Morsell G
Justin McKoy F
Kody Stattmann G
Kadin Shedrick F
Francisco Caffaro C
Jabri Abdur-Rahim G
Carson McCorkle G
Austin Katstra F
Chase Coleman G
Jayden Nixon G
Malachi Poindexter G
MIN	FGM	FGA	FTM	FTA	3PM	3PA	PTS	OR	DR	REB	AST	TO	STL	BLK
856	147	292	43	48	63	151	400	21	149	170	45	26	14	10
676	127	217	41	49	29	75	324	43	134	177	24	33	13	66
739	96	191	38	41	52	120	282	15	70	85	30	19	20	11
850	85	207	47	64	20	62	237	6	45	51	113	53	18	0
734	42	110	25	33	9	37	118	5	66	71	75	29	30	10
297	32	78	10	11	23	55	97	2	27	29	21	12	11	1
344	42	106	7	11	10	38	101	6	25	31	14	13	8	6
214	28	58	8	10	3	9	67	17	45	62	10	10	4	0
34	7	12	0	0	0	2	14	0	7	7	2	0	1	1
86	11	21	6	9	0	1	28	12	12	24	3	6	2	4
117	6	12	8	10	0	0	20	9	12	21	2	7	0	1
37	2	10	2	2	1	7	7	0	2	2	2	1	1	1
22	2	5	0	0	1	4	5	1	3	4	4	0	1	0
6	1	4	0	0	1	3	3	1	0	1	0	0	0	0
6	1	1	0	0	0	0	2	0	1	1	0	0	0	0
4	0	0	0	0	0	0	0	0	1	1	0	0	0	0
3	0	2	0	0	0	2	0	0	0	0	0	0	0	0
